permno,indno,mbrstartdt,mbrenddt,mbrflg,indfam
16343,1000500,2016-11-01,2016-11-01,NORM,1100500
16344,1000500,1957-03-01,1966-06-22,NORM,1100500
16346,1000500,2016-11-01,2016-11-01,NORM,1100500
16347,1000500,2016-11-01,2016-11-01,NORM,1100500
16360,1000500,1977-05-19,1989-01-04,NORM,1100500
16424,1000500,1960-10-26,2005-09-30,NORM,1100500
16431,1000500,2016-11-10,2016-11-10,NORM,1100500
16431,1000500,2018-12-03,2025-10-31,NORM,1100500
16432,1000500,1925-12-31,2019-02-26,NORM,1100500
16538,1000500,2017-01-17,2021-02-11,NORM,1100500
16544,1000500,2017-02-02,2017-02-02,NORM,1100500
16571,1000500,1957-03-01,1994-12-20,NORM,1100500
16581,1000500,2022-09-19,2025-10-31,NORM,1100500
16598,1000500,1957-03-01,1981-06-17,NORM,1100500
16600,1000500,1957-03-01,2025-10-31,NORM,1100500
16619,1000500,1957-03-01,1974-05-08,NORM,1100500
16651,1000500,1957-03-01,1987-12-09,NORM,1100500
16678,1000500,1957-03-01,2025-10-31,NORM,1100500
16686,1000500,1957-03-01,1968-07-23,NORM,1100500
16692,1000500,2020-03-03,2025-10-31,NORM,1100500
16707,1000500,1941-08-20,1982-09-15,NORM,1100500
16723,1000500,1957-03-01,1968-11-06,NORM,1100500
16731,1000500,1957-03-01,1977-11-02,NORM,1100500
16736,1000500,2024-05-08,2025-10-31,NORM,1100500
16758,1000500,1957-03-01,1979-01-10,NORM,1100500
16803,1000500,1957-03-01,1985-05-08,NORM,1100500
16816,1000500,2017-08-07,2019-04-02,NORM,1100500
16851,1000500,2017-09-01,2025-10-31,NORM,1100500
16870,1000500,1957-03-01,1998-06-29,NORM,1100500
16926,1000500,1957-03-01,1962-01-10,NORM,1100500
16969,1000500,1957-03-01,1975-10-15,NORM,1100500
17005,1000500,1957-03-01,2025-10-31,NORM,1100500
17013,1000500,1957-03-01,1965-11-03,NORM,1100500
17048,1000500,1957-03-01,1967-07-12,NORM,1100500
17056,1000500,1957-03-01,1963-01-16,NORM,1100500
17064,1000500,1957-03-01,1961-04-26,NORM,1100500
17099,1000500,1957-03-01,1961-06-07,NORM,1100500
17128,1000500,1932-10-03,1941-08-20,NORM,1100500
17128,1000500,1957-03-01,1986-05-07,NORM,1100500
17137,1000500,1982-04-08,1995-10-31,NORM,1100500
17144,1000500,1957-03-01,1963-03-13,NORM,1100500
17144,1000500,1969-02-13,2025-10-31,NORM,1100500
17216,1000500,1957-03-01,1960-07-13,NORM,1100500
17232,1000500,1941-08-20,1950-06-30,NORM,1100500
17232,1000500,1957-03-01,1967-07-19,NORM,1100500
17267,1000500,1967-07-13,1977-05-18,NORM,1100500
17278,1000500,1983-09-13,1994-09-26,NORM,1100500
17279,1000500,2008-06-11,2015-06-11,NORM,1100500
17291,1000500,1957-03-01,1986-11-26,NORM,1100500
17304,1000500,1957-03-01,1987-01-07,NORM,1100500
17307,1000500,2022-06-08,2025-10-31,NORM,1100500
17312,1000500,1957-03-01,1964-09-02,NORM,1100500
17340,1000500,1980-12-11,1989-02-08,NORM,1100500
17398,1000500,1957-03-01,1962-04-25,NORM,1100500
17419,1000500,1941-08-20,1944-06-07,NORM,1100500
